oversampler,rf__class_weight,rf__criterion,rf__max_depth,rf__max_features,rf__n_estimators,undersampler,Accuracy
passthrough,balanced,gini,,,100,NearMiss(),0.3316251269904148
passthrough,balanced,gini,,,500,passthrough,0.7338606972413774
passthrough,balanced,gini,,,500,RandomUnderSampler(random_state=1410950),0.6323721135786101
passthrough,balanced,gini,,,500,NearMiss(),0.32953453465592
passthrough,balanced,gini,,,1000,passthrough,0.7317701049068827
passthrough,balanced,gini,,,1000,RandomUnderSampler(random_state=1410950),0.6298164062184208
passthrough,balanced,gini,,,1000,NearMiss(),0.32953399570455766
passthrough,balanced,entropy,100.0,sqrt,10,passthrough,0.7124926231032281
passthrough,balanced,entropy,100.0,sqrt,10,RandomUnderSampler(random_state=1410950),0.597069182491626
passthrough,balanced,entropy,100.0,sqrt,10,NearMiss(),0.39828020620279125
passthrough,balanced,entropy,100.0,sqrt,100,passthrough,0.725966946112948
passthrough,balanced,entropy,100.0,sqrt,100,RandomUnderSampler(random_state=1410950),0.6288910267292929
passthrough,balanced,entropy,100.0,sqrt,100,NearMiss(),0.4077978177859339
passthrough,balanced,entropy,100.0,sqrt,500,passthrough,0.7278247114589144
passthrough,balanced,entropy,100.0,sqrt,500,RandomUnderSampler(random_state=1410950),0.6288894098752058
passthrough,balanced,entropy,100.0,sqrt,500,NearMiss(),0.40362148367920536
passthrough,balanced,entropy,100.0,sqrt,1000,passthrough,0.7275926928974294
passthrough,balanced,entropy,100.0,sqrt,1000,RandomUnderSampler(random_state=1410950),0.6300524669151233
passthrough,balanced,entropy,100.0,sqrt,1000,NearMiss(),0.4061734183798583
passthrough,balanced,entropy,100.0,log2,10,passthrough,0.7124926231032281
passthrough,balanced,entropy,100.0,log2,10,RandomUnderSampler(random_state=1410950),0.597069182491626
passthrough,balanced,entropy,100.0,log2,10,NearMiss(),0.39828020620279125
passthrough,balanced,entropy,100.0,log2,100,passthrough,0.725966946112948
passthrough,balanced,entropy,100.0,log2,100,RandomUnderSampler(random_state=1410950),0.6288910267292929
passthrough,balanced,entropy,100.0,log2,100,NearMiss(),0.4077978177859339
passthrough,balanced,entropy,100.0,log2,500,passthrough,0.7278247114589144
passthrough,balanced,entropy,100.0,log2,500,RandomUnderSampler(random_state=1410950),0.6288894098752058
passthrough,balanced,entropy,100.0,log2,500,NearMiss(),0.40362148367920536
passthrough,balanced,entropy,100.0,log2,1000,passthrough,0.7275926928974294
passthrough,balanced,entropy,100.0,log2,1000,RandomUnderSampler(random_state=1410950),0.6300524669151233
passthrough,balanced,entropy,100.0,log2,1000,NearMiss(),0.4061734183798583
passthrough,balanced,entropy,100.0,,10,passthrough,0.7194620726452541
passthrough,balanced,entropy,100.0,,10,RandomUnderSampler(random_state=1410950),0.61309570967768
passthrough,balanced,entropy,100.0,,10,NearMiss(),0.3504283315952152
passthrough,balanced,entropy,100.0,,100,passthrough,0.7329326229954377
passthrough,balanced,entropy,100.0,,100,RandomUnderSampler(random_state=1410950),0.6377152773847924
passthrough,balanced,entropy,100.0,,100,NearMiss(),0.3585527539067237
passthrough,balanced,entropy,100.0,,500,passthrough,0.7338625835711456
passthrough,balanced,entropy,100.0,,500,RandomUnderSampler(random_state=1410950),0.6398064086706496
passthrough,balanced,entropy,100.0,,500,NearMiss(),0.3573913137208932
passthrough,balanced,entropy,100.0,,1000,passthrough,0.7333985464481758
passthrough,balanced,entropy,100.0,,1000,RandomUnderSampler(random_state=1410950),0.6377155468604736
passthrough,balanced,entropy,100.0,,1000,NearMiss(),0.35739212214793675
passthrough,balanced,entropy,500.0,sqrt,10,passthrough,0.7124926231032281
passthrough,balanced,entropy,500.0,sqrt,10,RandomUnderSampler(random_state=1410950),0.597069182491626
passthrough,balanced,entropy,500.0,sqrt,10,NearMiss(),0.39828020620279125
passthrough,balanced,entropy,500.0,sqrt,100,passthrough,0.725966946112948
passthrough,balanced,entropy,500.0,sqrt,100,RandomUnderSampler(random_state=1410950),0.6288910267292929
passthrough,balanced,entropy,500.0,sqrt,100,NearMiss(),0.4077978177859339
passthrough,balanced,entropy,500.0,sqrt,500,passthrough,0.7278247114589144
passthrough,balanced,entropy,500.0,sqrt,500,RandomUnderSampler(random_state=1410950),0.6288894098752058
passthrough,balanced,entropy,500.0,sqrt,500,NearMiss(),0.40362148367920536
passthrough,balanced,entropy,500.0,sqrt,1000,passthrough,0.7275926928974294
passthrough,balanced,entropy,500.0,sqrt,1000,RandomUnderSampler(random_state=1410950),0.6300524669151233
passthrough,balanced,entropy,500.0,sqrt,1000,NearMiss(),0.4061734183798583
passthrough,balanced,entropy,500.0,log2,10,passthrough,0.7124926231032281
passthrough,balanced,entropy,500.0,log2,10,RandomUnderSampler(random_state=1410950),0.597069182491626
passthrough,balanced,entropy,500.0,log2,10,NearMiss(),0.39828020620279125
passthrough,balanced,entropy,500.0,log2,100,passthrough,0.725966946112948
passthrough,balanced,entropy,500.0,log2,100,RandomUnderSampler(random_state=1410950),0.6288910267292929
passthrough,balanced,entropy,500.0,log2,100,NearMiss(),0.4077978177859339
passthrough,balanced,entropy,500.0,log2,500,passthrough,0.7278247114589144
passthrough,balanced,entropy,500.0,log2,500,RandomUnderSampler(random_state=1410950),0.6288894098752058
passthrough,balanced,entropy,500.0,log2,500,NearMiss(),0.40362148367920536
passthrough,balanced,entropy,500.0,log2,1000,passthrough,0.7275926928974294
passthrough,balanced,entropy,500.0,log2,1000,RandomUnderSampler(random_state=1410950),0.6300524669151233
passthrough,balanced,entropy,500.0,log2,1000,NearMiss(),0.4061734183798583
passthrough,balanced,entropy,500.0,,10,passthrough,0.7194620726452541
passthrough,balanced,entropy,500.0,,10,RandomUnderSampler(random_state=1410950),0.61309570967768
passthrough,balanced,entropy,500.0,,10,NearMiss(),0.3504283315952152
