,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.1224482536315918,0.0033834598379842984,0.10807218551635742,0.002834954973631189,balanced,gini,100,sqrt,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 100, 'max_features': 'sqrt', 'n_estimators': 10}",0.7099767981438515,0.727061556329849,0.7015098722415796,0.7015098722415796,0.7224157955865272,0.7124947789086773,0.01056687420632861,199
1,0.5396979808807373,0.09781115825037295,0.11323275566101074,0.004132524978745464,balanced,gini,100,sqrt,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 100, 'max_features': 'sqrt', 'n_estimators': 100}",0.7180974477958236,0.7514518002322881,0.7212543554006968,0.7061556329849012,0.7456445993031359,0.7285207671433691,0.017208738815626127,97
2,3.449300241470337,0.13455154255530355,0.6674860954284668,0.17182990602515233,balanced,gini,100,sqrt,500,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 100, 'max_features': 'sqrt', 'n_estimators': 500}",0.7122969837587007,0.7479674796747967,0.7119628339140535,0.7096399535423926,0.7456445993031359,0.725502370038616,0.017433921378048427,139
3,6.515128803253174,0.1737801229356053,0.9487010955810546,0.007438372527596016,balanced,gini,100,sqrt,1000,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 100, 'max_features': 'sqrt', 'n_estimators': 1000}",0.7146171693735499,0.7502903600464577,0.7154471544715447,0.710801393728223,0.7468060394889663,0.7275924234217482,0.017217217098327447,127
4,0.12054758071899414,0.005446583785965527,0.11058254241943359,0.0014078713666243916,balanced,gini,100,log2,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 100, 'max_features': 'log2', 'n_estimators': 10}",0.7099767981438515,0.727061556329849,0.7015098722415796,0.7015098722415796,0.7224157955865272,0.7124947789086773,0.01056687420632861,199
5,0.6349530220031738,0.03320214336944131,0.16009716987609862,0.056749048977739774,balanced,gini,100,log2,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 100, 'max_features': 'log2', 'n_estimators': 100}",0.7180974477958236,0.7514518002322881,0.7212543554006968,0.7061556329849012,0.7456445993031359,0.7285207671433691,0.017208738815626127,97
6,3.2519887924194335,0.1855682021634468,0.4641838550567627,0.09240753133102322,balanced,gini,100,log2,500,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 100, 'max_features': 'log2', 'n_estimators': 500}",0.7122969837587007,0.7479674796747967,0.7119628339140535,0.7096399535423926,0.7456445993031359,0.725502370038616,0.017433921378048427,139
7,6.969563913345337,0.5117558419083849,1.0940414428710938,0.08568603698717225,balanced,gini,100,log2,1000,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 100, 'max_features': 'log2', 'n_estimators': 1000}",0.7146171693735499,0.7502903600464577,0.7154471544715447,0.710801393728223,0.7468060394889663,0.7275924234217482,0.017217217098327447,127
8,0.11965756416320801,0.0016397489854670046,0.11057953834533692,0.003833386100028812,balanced,gini,100,,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 100, 'max_features': None, 'n_estimators': 10}",0.7134570765661253,0.7491289198606271,0.7061556329849012,0.6991869918699187,0.743321718931475,0.7222500680426095,0.020172953019906757,169
9,0.8962168216705322,0.06127813523821769,0.13675155639648437,0.04466162799343153,balanced,gini,100,,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 100, 'max_features': None, 'n_estimators': 100}",0.7250580046403712,0.7572590011614402,0.7235772357723578,0.710801393728223,0.7398373983739838,0.7313066067352751,0.015909450942893727,91
10,4.496425342559815,0.27252331720921197,0.5667876720428466,0.06722685757478206,balanced,gini,100,,500,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 100, 'max_features': None, 'n_estimators': 500}",0.7296983758700696,0.7560975609756098,0.7293844367015099,0.7142857142857143,0.7398373983739838,0.7338606972413774,0.013789422399046587,64
11,9.603568077087402,0.12052005411145127,0.7081108570098877,0.04233398997528826,balanced,gini,100,,1000,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 100, 'max_features': None, 'n_estimators': 1000}",0.7296983758700696,0.7514518002322881,0.7247386759581882,0.7119628339140535,0.7409988385598142,0.7317701049068827,0.01355433284352072,79
12,0.1765195369720459,0.051064990349059355,0.13358240127563475,0.007013110756026909,balanced,gini,500,sqrt,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 500, 'max_features': 'sqrt', 'n_estimators': 10}",0.7099767981438515,0.727061556329849,0.7015098722415796,0.7015098722415796,0.7224157955865272,0.7124947789086773,0.01056687420632861,199
13,0.9508487224578858,0.03263041716078965,0.23830757141113282,0.013101999809625954,balanced,gini,500,sqrt,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 500, 'max_features': 'sqrt', 'n_estimators': 100}",0.7180974477958236,0.7514518002322881,0.7212543554006968,0.7061556329849012,0.7456445993031359,0.7285207671433691,0.017208738815626127,97
14,3.6846036434173586,0.5612065929326756,0.4579942226409912,0.0829417035087493,balanced,gini,500,sqrt,500,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 500, 'max_features': 'sqrt', 'n_estimators': 500}",0.7122969837587007,0.7479674796747967,0.7119628339140535,0.7096399535423926,0.7456445993031359,0.725502370038616,0.017433921378048427,139
